name,code,childrenUrl,comment,url
"AMIGO - Rata de ocupare pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG156E,matrix,,matrix
"AMIGO - Rata de ocupare pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG156F,matrix,,matrix
AMIGO - Rata somajului BIM pe grupe de varsta si sexe,AMG157A,matrix,,matrix
AMIGO - Rata somajului BIM pe grupe de varsta si medii de rezidenta,AMG157B,matrix,,matrix
AMIGO - Rata somajului BIM pe grupe de varsta si sexe,AMG157C,matrix,,matrix
AMIGO - Rata somajului BIM pe grupe de varsta si medii de rezidenta,AMG157D,matrix,,matrix
"AMIGO - Rata somajului BIM pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG157E,matrix,,matrix
"AMIGO - Rata somajului BIM pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG157F,matrix,,matrix
"AMIGO - Rata somajului BIM - date cu frecventa lunara, serie bruta, pe grupe de varsta si sexe",AMG157G,matrix,,matrix
"AMIGO - Rata somajului BIM - date cu frecventa lunara, serie ajustata sezonier, pe grupe de varsta si sexe",AMG157H,matrix,,matrix
"AMIGO - Rata somajului BIM - date cu frecventa lunara, trend, pe grupe de varsta si sexe",AMG157I,matrix,,matrix
AMIGO-Rata de ocupare pe grupe de varsta si sexe (date comparabile),AMG158A,matrix,,matrix
AMIGO-Rata de ocupare pe grupe de varsta si medii de rezidenta (date comparabile),AMG158B,matrix,,matrix
AMIGO-Rata somajului BIM pe grupe de varsta si sexe (date comparabile),AMG159A,matrix,,matrix
AMIGO-Rata somajului BIM pe grupe de varsta si medii de rezidenta (date comparabile),AMG159B,matrix,,matrix
"Biblioteci pe categorii de biblioteci, judete si localitati",ART101B,matrix,,matrix
"Biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART101C,matrix,,matrix
Cinematografe pe categorii de cinematografe,ART102A,matrix,,matrix
"Cinematografe pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART102B,matrix,,matrix
Cinematografe pe categorii de cinematografe si sediul filialelor judetelor,ART102D,matrix,,matrix
Institutii si companii de spectacole sau concerte pe judete si localitati,ART103B,matrix,,matrix
"Institutii si companii de spectacole sau concerte pe categorii de institutii, macroregiuni, regiuni de dezvoltare si judete",ART103C,matrix,,matrix
"Institutii si companii de spectacole sau concerte dupa felul institutiilor si companiilor de spectacole sau concerte,pe judete si localitati",ART103D,matrix,,matrix
"Institutii si companii de spectacole sau concerte pe categorii de institutii, dupa felul institutiilor si companiilor de spectacole sau concerte, pe macroregiuni, regiuni de dezvoltare si judete",ART103E,matrix,,matrix
Muzee si colectii publice pe judete si localitati,ART104A,matrix,,matrix
"Muzee si colectii publice pe macroregiuni, regiuni de dezvoltare si judete",ART104B,matrix,,matrix
"Muzee si colectii publice dupa felul muzeului/colectiei publice,  pe judete si localitati",ART104C,matrix,,matrix
"Muzee si colectii publice dupa felul muzeului/colectiei publice pe macroregiuni, regiuni de dezvoltare si judete",ART104D,matrix,,matrix
"Locuri in salile de cinematograf pe macroregiuni, regiuni de dezvoltare si judete",ART105A,matrix,,matrix
Locuri in salile de cinematograf dupa sediul filialelor judetelor,ART105B,matrix,,matrix
Volume existente in biblioteci pe judete si localitati,ART106A,matrix,,matrix
"Volume existente in biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART106B,matrix,,matrix
Cititori activi la biblioteci pe judete si localitati,ART107A,matrix,,matrix
"Cititori activi la biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART107B,matrix,,matrix
Volume eliberate pe judete si localitati,ART108A,matrix,,matrix
